10337,10001
10448,10002
10331,10004
10666,10009
10340,10013
10480,10016
10512,10024
10072,10026
10183,10029
10343,10032
10532,10036
10513,10043
10401,10045
10222,10047
10140,10067
10326,10124
10575,10144
10160,10149
20020,20001
20315,20004
20008,20006
20352,20011
20018,20015
20171,20021
20182,20032
20099,20080
20293,20107
20289,20119
20221,20124
20241,20126
20377,20144
20265,20159
20305,20169
20323,20186
20369,20245
20354,20313
20345,20334
20387,20379
10362,10206
10270,10231
10585,10232
10459,10253
10421,10267
10474,10275
10657,10334
10494,10411
10569,10441
10561,10506
10677,10545
10624,10590
10622,10609
10645,10634
10686,10647
10732,10693
10754,10716
10744,10722
60005,60099
