10549,1,10,2,2798,4816886,0
10549,2,10,2,4512,4523777,0
10549,3,10,2,4341,4511336,0
10549,4,10,2,4747,4202565,0
10549,5,10,2,3914,4210595,0
10549,6,10,2,4157,4560040,0
10549,7,0,1,0,0,0
10549,8,10,2,3172,2195233,0
10022,1,10,2,2798,4816886,0
10022,2,10,2,4512,4523777,0
10022,3,10,2,4341,4511336,0
10022,4,10,2,4747,4202565,0
10022,5,10,2,3914,4210595,0
10022,6,10,2,4157,4560040,0
10022,7,0,1,0,0,0
10022,8,10,2,3172,2195233,0
10607,1,10,2,2798,4816886,0
10607,2,10,2,4512,4523777,0
10607,3,10,2,4341,4511336,0
10607,4,10,2,4747,4202565,0
10607,5,10,2,3914,4210595,0
10607,6,10,2,4157,4560040,0
10607,7,0,1,0,0,0
10607,8,10,2,3172,2195233,0
10453,1,10,2,2798,4816886,0
10453,2,10,2,4512,4523777,0
10453,3,10,2,4341,4511336,0
10453,4,10,2,4747,4202565,0
10453,5,10,2,3914,4210595,0
10453,6,10,2,4157,4560040,0
10453,7,0,1,0,0,0
10453,8,10,2,3172,2195233,0
10705,1,10,2,2798,4816886,0
10705,2,10,2,4512,4523777,0
10705,3,10,2,4341,4511336,0
10705,4,10,2,4747,4202565,0
10705,5,10,2,3914,4210595,0
10705,6,10,2,4157,4560040,0
10705,7,0,1,0,0,0
10705,8,10,2,3172,2195233,0
10097,1,10,2,2798,4816886,0
10097,2,10,2,4512,4523777,0
10097,3,10,2,4341,4511336,0
10097,4,10,2,4747,4202565,0
10097,5,10,2,3914,4210595,0
10097,6,10,2,4157,4560040,0
10097,7,0,1,0,0,0
10097,8,10,2,3172,2195233,0
10162,1,10,2,2798,4816886,0
10162,2,10,2,4512,4523777,0
10162,3,10,2,4341,4511336,0
10162,4,10,2,4747,4202565,0
10162,5,10,2,3914,4210595,0
10162,6,10,2,4157,4560040,0
10162,7,0,1,0,0,0
10162,8,10,2,3172,2195233,0
10159,1,10,2,2798,4816886,0
10159,2,10,2,4512,4523777,0
10159,3,10,2,4341,4511336,0
10159,4,10,2,4747,4202565,0
10159,5,10,2,3914,4210595,0
10159,6,10,2,4157,4560040,0
10159,7,0,1,0,0,0
10159,8,10,2,3172,2195233,0
10041,1,10,2,2798,4816886,0
10041,2,10,2,4512,4523777,0
10041,3,10,2,4341,4511336,0
10041,4,10,2,4747,4202565,0
10041,5,10,2,3914,4210595,0
10041,6,10,2,4157,4560040,0
10041,7,0,1,0,0,0
10041,8,10,2,3172,2195233,0
10595,1,10,2,2798,4816886,0
10595,2,10,2,4512,4523777,0
10595,3,10,2,4341,4511336,0
10595,4,10,2,4747,4202565,0
10595,5,10,2,3914,4210595,0
10595,6,10,2,4157,4560040,0
10595,7,0,1,0,0,0
10595,8,10,2,3172,2195233,0
10469,1,10,2,2798,4816886,0
10469,2,10,2,4512,4523777,0
10469,3,10,2,4341,4511336,0
10469,4,10,2,4747,4202565,0
10469,5,10,2,3914,4210595,0
10469,6,10,2,4157,4560040,0
10469,7,0,1,0,0,0
10469,8,10,2,3172,2195233,0
10491,1,10,2,2798,4816886,0
10491,2,10,2,4512,4523777,0
10491,3,10,2,4341,4511336,0
10491,4,10,2,4747,4202565,0
10491,5,10,2,3914,4210595,0
10491,6,10,2,4157,4560040,0
10491,7,0,1,0,0,0
10491,8,10,2,3172,2195233,0
10300,1,10,2,2798,4816886,0
10300,2,10,2,4512,4523777,0
10300,3,10,2,4341,4511336,0
10300,4,10,2,4747,4202565,0
10300,5,10,2,3914,4210595,0
10300,6,10,2,4157,4560040,0
10300,7,0,1,0,0,0
10300,8,10,2,3172,2195233,0
10241,1,10,2,2798,4816886,0
10241,2,10,2,4512,4523777,0
10241,3,10,2,4341,4511336,0
10241,4,10,2,4747,4202565,0
10241,5,10,2,3914,4210595,0
10241,6,10,2,4157,4560040,0
10241,7,0,1,0,0,0
10241,8,10,2,3172,2195233,0
10293,1,10,2,2798,4816886,0
10293,2,10,2,4512,4523777,0
10293,3,10,2,4341,4511336,0
10293,4,10,2,4747,4202565,0
10293,5,10,2,3914,4210595,0
10293,6,10,2,4157,4560040,0
10293,7,0,1,0,0,0
10293,8,10,2,3172,2195233,0
10347,1,10,2,2798,4816886,0
10347,2,10,2,4512,4523777,0
10347,3,10,2,4341,4511336,0
10347,4,10,2,4747,4202565,0
10347,5,10,2,3914,4210595,0
10347,6,10,2,4157,4560040,0
10347,7,0,1,0,0,0
10347,8,10,2,3172,2195233,0
