7u9-rfpgk-5,7qi-3dcgjc-gcw,410,2,0,1658800,0,0,1556082468860,1687051653089,0,0
7x6-ty8uy-4,7qi-3dcgjc-bfh,220,0,1,33600,0,0,1560306650108,1608833142855,0,0
7ww-rf56h-8,7qi-3dcgjc-8bb,240,20,0,0,0,0,1556056185447,1576665441902,0,0
7ut-o0nrl-f,7qi-3dcgjc-bkt,345,0,4,5612480,0,0,1550341585592,1695383611692,0,0
7u9-k83me-y,7qi-3dcgjc-hjk,255,10,0,0,0,0,1543970262773,1560822886911,0,0
7x3-ybzcf-3,7qi-3dcgjc-akz,360,20,0,0,0,0,1567665967139,1678373342413,0,0
7ww-t9gn6-b,7qi-3dcgjc-8bb,345,2,2,5928640,0,0,1559150338257,1682311160397,0,0
7wz-s9dkl-1h,7qi-3dcgjc-mq,235,0,0,4600,0,0,1557466741964,1571383655632,0,0
7u7-mvhn1-g,7qi-3dcgjc-ga5,335,0,2,158400,0,0,1548420749590,1669468098776,0,0
7qi-2ukmg8-1,7qi-3dcgjc-gie,205,0,0,0,0,0,1682283048580,1682283048580,0,0
7ut-ybzcf-39,7qi-3dcgjc-bkt,525,20,0,0,0,0,1567665967199,1608679494526,0,0
7x3-ybzcf-6,7qi-3dcgjc-akz,445,20,0,342160,0,0,1567665967144,1715409146450,0,0
7ut-ybzcf-q,7qi-3dcgjc-908,530,15,0,2425600,0,0,1567665967044,1694449835084,0,0
7u9-r2ze2-8,7qi-3dcgjc-hjk,515,3,2,8430400,0,0,1555488810656,1694430109410,0,0
7wz-s9dkl-1e,7qi-3dcgjc-mq,220,0,0,600,0,0,1557466741958,1560504381699,0,0
7u7-k8rjo-9,7qi-3dcgjc-ga5,235,20,0,0,0,0,1544001268254,1596290224461,0,0
7x3-rupy4-1g,7qi-3dcgjc-le,120,5,0,0,0,0,1556782940579,1650720167028,0,0
7u7-ybzcf-1s,7qi-3dcgjc-irn,440,12,0,2792400,1,0,1567665967578,1695260257919,0,0
7u7-25p9ez-c,7qi-3dcgjc-le,255,0,0,29000,0,0,1640509035978,1659672764515,0,0
7x3-vkddm-6,7qi-3dcgjc-akz,305,20,0,0,0,0,1563018554798,1626771506687,0,0
7u7-2cekev-9,7qi-3dcgjc-bqq,540,0,0,862400,0,0,1651767383383,1684717803818,0,0
7u7-293cpp-5,7qi-3dcgjc-bqq,405,0,0,67080,0,0,1646205341480,1692326311301,0,0
7u9-q8th7-2v,7qi-3dcgjc-345,505,3,0,0,0,0,1554081467533,1555150960624,0,0
7ut-lf6ff-3h,7qi-3dcgjc-908,130,5,0,0,0,0,1545980107689,1548689686730,0,0
7u9-k0tgm-1s,7qi-3dcgjc-345,105,4,0,0,0,0,1543630502768,1568207944431,0,0
7u7-2axd8j-4w,7qi-3dcgjc-akz,140,8,0,0,0,0,1649285315960,1650076004780,0,0
7ut-ybzcf-38,7qi-3dcgjc-bkt,460,0,2,1393600,0,0,1567665967198,1689548480476,0,0
7x3-svsm5-7,7qi-3dcgjc-bqq,225,11,1,244800,0,0,1558512669660,1694444248912,0,0
7x3-yw710-a,7qi-3dcgjc-akz,545,20,0,0,0,0,1568609044106,1616928175297,0,0
7ww-ybzcf-7,7qi-3dcgjc-8bb,450,0,2,1037920,0,0,1567665967315,1677403628097,0,0
7u7-ybzcg-h,7qi-3dcgjc-ga5,540,0,0,228800,0,0,1567665968062,1644102295373,0,0
7ut-qbn1n-4,7qi-3dcgjc-bkt,410,0,2,8049600,0,0,1554213099493,1689524900667,0,0
7ut-ybzcf-t,7qi-3dcgjc-908,545,14,0,11653600,0,0,1567665967049,1693876856058,0,0
7ut-rl94y-4,7qi-3dcgjc-bkt,520,1,2,5183200,0,0,1556341250206,1694360152693,0,0
7ww-r36mb-2c,7qi-3dcgjc-38e,135,1,0,0,0,0,1555498179424,1645699579086,0,0
7ww-r4pkf-28,7qi-3dcgjc-g4n,135,0,0,0,0,0,1555569391532,1555569391532,0,0
7u7-y9xnh-a,7qi-3dcgjc-irn,410,5,0,607880,0,0,1567570461538,1694342121601,0,0
7u9-pbziw-2,7qi-3dcgjc-345,410,9,0,7971080,1,0,1552549656239,1699053167646,0,0
7u9-k1hks-33,7qi-3dcgjc-e92,110,10,0,0,0,0,1543661756627,1556308349068,0,0
7u9-k0svg-5q,7qi-3dcgjc-hjk,120,5,0,0,0,0,1543629740862,1544468638800,0,0
