fgg-hqlgq-47;20072;928000;0;0;0
fgg-hqlwt-a;20072;928000;0;0;0
fgg-hrhof-b;20072;928000;0;0;0
fhk-ina5i-h;20072;928000;0;0;0
fhk-invat-e;20072;928000;0;0;0
fib-ksvit-4;20072;928000;0;0;0
fie-l81ey-j;20072;928000;0;0;0
fig-lcovc-b;20072;928000;0;0;0
fih-lgpx7-o;20072;928000;0;0;0
fih-lhcec-q;20072;928000;0;0;0
fih-lhgiz-6;20072;928000;0;0;0
fih-lj0e0-6;20072;928000;0;0;0
fiq-mhq9a-5;20072;928000;0;0;0
fjf-p8ldb-6;20072;928000;0;0;0
fjh-piu4n-1;20072;928000;0;0;0
fjq-qpmlw-b;20072;928000;0;0;0
fjq-qrzbh-9;20072;928000;0;0;0
fjs-r59rr-g;20072;928000;0;0;0
fgl-hsate-3r;20072;928000;0;0;0
fgs-hu88h-93;20072;928000;0;0;0
fh3-hz4h8-9i;20072;928000;0;0;0
fh8-i64zd-5u;20072;928000;0;0;0
fh9-i7nso-a;20072;928000;0;0;0
fhf-ighhb-1d;20072;928000;0;0;0
fhm-ipk73-1t;20072;928000;0;0;0
fho-iv2xy-35;20072;928000;0;0;0
fic-kwcge-l;20072;928000;0;0;0
fig-ldney-1h;20072;928000;0;0;0
fii-lm3y6-a;20072;928000;0;0;0
fii-lmx20-3;20072;928000;0;0;0
fjj-pt1i7-i;20072;928000;0;0;0
fjs-r5yac-5;20072;928000;0;0;0
fmp-1cfbdk-a;20072;928000;0;0;0
fgl-hs68t-1f;20072;928000;0;0;0
fgl-hs9o4-5q;20072;928000;0;0;0
fgs-hvh9d-i;20072;928000;0;0;0
fh2-hxw4v-f;20072;928000;0;0;0
fh8-i6bk4-24;20072;928000;0;0;0
fhf-ifwol-13;20072;928000;0;0;0
fhm-iqzga-17;20072;928000;0;0;0
fhn-ishgr-q;20072;928000;0;0;0
fic-l3xe4-h;20072;928000;0;0;0
fie-l3va6-f;20072;928000;0;0;0
fii-lkues-8;20072;928000;0;0;0
fii-lm4rq-17;20072;928000;0;0;0
fjd-oz7ut-1q;20072;928000;0;0;0
